postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1067 AJ Amsterdam;Cornelis Roobolstraat 18;5.238.319;4.804.745;199000;96;314;2;1956;1;woonhuis;20;5
1054 HM Amsterdam;Overtoom 114 I;5.236.281;4.874.825;275000;42;147;1;1906;0;appartement;18;3
1033 DJ Amsterdam;Krasseurstraat 141;5.240.471;4.896.677;319000;108;328;3;1989;1;woonhuis;26;5
1034 ES Amsterdam;Statenjachtstraat 382;5.240.593;4.917.677;160000;71;247;8;1967;0;appartement;21;3
1053 VN Amsterdam;Bilderdijkkade 68 II;5.236.693;4.870.252;250000;45;135;1;1895;0;appartement;19;2
1012 SP Amsterdam;Spuistraat 3 F 9;5.237.712;4.894.321;249500;0;0;1;0;0;onbekend;1;1
1071 GJ Amsterdam;Van Eeghenstraat 52 huis;5.235.789;4.874.732;2000000;196;664;3;1896;1;appartement;40;5
1052 JC Amsterdam;Frederik Hendrikstraat 122 II;5.237.527;487.285;375000;67;228;1;1905;0;appartement;27;3
1024 BB Amsterdam;Jisperveldstraat 554;5.240.046;4.951.977;175000;84;259;11;1968;0;appartement;21;4
1054 DT Amsterdam;Eerste Helmersstraat 183 HS;5.236.168;4.868.598;1065000;150;515;2;1904;1;appartement;44;4
1087 MG Amsterdam;Nico Jessekade 45;5.235.009;5.000.694;789000;188;647;3;2008;1;woonhuis;56;6
1103 LJ Amsterdam;Groenhoven 343;5.232.526;4.976.836;118500;55;154;1;1974;0;appartement;11;2
1051 AL Amsterdam;De Wittenkade 124 h;5.238.244;4.875.361;345000;66;181;1;1905;1;appartement;26;3
1055 XN Amsterdam;Louise de Colignystraat 54 -I;5.238.046;485.682;165000;46;138;1;1931;0;appartement;18;2
1033 ZS Amsterdam;Stoelenmatterspad 20;5.241.799;4.883.048;275000;0;0;1;0;0;onbekend;1;1
1054 WE Amsterdam;Wilhelminastraat 179 II;5.236.067;4.859.931;275000;49;165;1;1905;0;appartement;22;2
1032 GW Amsterdam;Korenbloemstraat 46;5.239.927;4.913.458;325000;77;337;2;1930;1;woonhuis;27;4
1082 JG Amsterdam;Van Nijenrodeweg 752;5.232.749;4.870.626;148000;34;95;1;1955;0;appartement;10;2
